# Format of file is weight|date pattern. Patterns drawn
# from test suite for python-dateutil package. Weights
# drawn from my imagination. 
20.0|Thu Sep 25 2003
20.0|Thu, Sep 25, 2003
30.0|Thursday, September 25, 2003
40.0|2003-09-25
30.0|2003-9-25
30.0|2003-10-09
5.0|20030925
20.0|2003-Sep-25
30.0|25-Sep-2003
10.0|Sep-25-2003
70.0|09-25-2003
70.0|9-25-2003
70.0|09-25-03
70.0|9-25-03
70.0|10-09-2003
70.0|10-09-03
10.0|2003.09.25
10.0|2003.9.25
10.0|09.25.2003
10.0|9.25.2003
10.0|9.25.03
10.0|10.09.2003
10.0|10.09.03
30.0|2003/09/25
30.0|2003/9/25
100.0|09/25/2003
100.0|9/25/2003
80.0|10/09/03
1.0|2003 09 25
5.0|2003 Sep 25
30.0|25 September 2003
40.0|25 Sep 2003
10.0|September 25 2003
50.0|September 25, 2003
60.0|Sep 25 2003
80.0|Sep 25, 2003
1.0|09 25 2003
1.0|10 09 2003
1.0|10 09 2003
1.0|10 09 03
1.0|03 25 Sep
1.0|2003 25 Sep
